date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,Buster Keaton,Luis Bunuel,The Beatles,Fritz Lang,王家卫,Wes Anderson,Agatha Christie,The Stone Roses,Satoshi Kon,杨德昌,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Teenage Fanclub,李洪绸,落日飞车,Cigarettes After Sex,Summer Salt,Douglas Adams,Italo Calvino
2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,47,0,0
2021-12-04,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-12-05,0,1,1,0,0,0,5,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,13
2021-12-06,0,0,0,0,0,1,5,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,21,0,0,0,0,12
2021-12-07,0,0,0,0,0,0,7,6,2,3,0,31,0,0,18,0,0,0,0,0,8,0,13,0,6,1,0,0,3,4
2021-12-08,0,0,0,0,0,0,6,18,0,7,0,43,0,0,22,28,0,0,0,0,15,0,8,0,3,0,0,0,0,15
2021-12-09,0,0,0,0,1,0,6,7,0,0,44,37,18,0,16,24,11,0,0,0,9,16,7,0,4,0,0,0,1,8
2021-12-10,0,0,0,0,1,0,3,5,0,7,48,41,10,0,25,27,15,43,0,21,11,25,14,0,1,0,0,0,1,7
2021-12-11,0,0,1,0,1,0,12,7,1,3,58,31,22,0,32,30,14,40,54,25,14,36,37,0,3,0,0,0,0,20
2021-12-12,0,0,0,0,0,0,14,9,0,3,33,43,16,0,25,26,15,42,50,28,12,23,22,0,1,0,0,0,2,19
2021-12-13,0,0,0,1,0,0,8,11,2,7,32,31,15,0,25,27,17,42,45,19,17,30,13,0,2,0,0,1,1,19
2021-12-14,0,0,0,0,0,0,7,4,2,4,34,105,13,0,20,27,10,26,41,24,6,21,9,0,5,0,1,0,0,11
2021-12-15,0,0,0,0,2,0,4,9,1,7,31,117,13,0,18,15,10,35,34,21,15,24,13,0,3,0,0,0,0,12
2021-12-16,0,0,0,0,0,0,10,2,0,4,33,126,12,0,28,32,9,36,43,13,10,29,6,0,0,0,0,0,2,10
2021-12-17,0,0,0,0,0,0,6,6,1,3,33,118,17,0,27,15,7,25,38,26,9,18,7,0,0,0,0,0,0,17
2021-12-18,0,0,0,0,0,0,8,10,3,2,40,116,11,0,22,20,14,36,40,25,15,16,17,0,4,0,0,0,0,8
2021-12-19,1,0,0,0,0,0,4,4,1,10,33,0,14,0,30,27,8,31,47,33,14,26,11,0,0,0,0,0,2,11
2021-12-20,0,0,0,0,0,0,7,6,0,5,28,86,11,0,22,16,13,24,36,16,14,20,14,0,2,0,0,0,0,7
2021-12-21,0,0,0,0,0,0,5,9,1,2,30,83,10,0,25,19,14,29,34,14,5,5,9,0,2,0,0,0,0,14
2021-12-22,0,0,0,0,0,0,3,8,2,3,23,72,18,0,19,26,13,35,37,21,13,20,8,0,3,0,0,0,0,16
2021-12-23,0,0,0,0,2,0,7,11,1,2,34,95,18,0,27,20,10,21,45,31,13,25,5,0,1,0,2,0,1,19
2021-12-24,0,0,0,0,0,0,4,6,2,2,32,86,18,0,32,28,19,36,37,21,13,13,7,0,3,0,0,0,1,9
2021-12-25,0,0,0,0,0,0,11,8,2,5,47,111,21,0,33,17,12,45,49,23,5,12,13,0,1,1,0,0,2,19
2021-12-26,0,0,0,2,2,0,12,2,0,3,39,131,9,0,34,18,16,63,63,21,8,11,8,0,1,0,1,0,1,16
2021-12-27,0,0,1,0,0,0,7,4,0,1,23,78,8,0,21,10,10,46,32,25,5,14,9,0,1,0,0,0,0,13
2021-12-28,1,0,0,0,0,0,8,3,1,7,41,68,12,0,28,15,13,45,51,22,11,21,12,0,3,0,0,0,1,14
2021-12-29,0,0,0,0,0,0,5,6,0,4,36,83,24,0,40,27,20,46,38,31,13,12,12,2,1,0,0,0,1,8
2021-12-30,0,0,0,0,0,0,8,8,1,3,59,75,17,0,22,22,10,43,35,22,5,12,19,0,1,1,0,0,0,15
2021-12-31,0,0,0,0,0,0,3,3,3,1,36,65,9,0,33,20,17,44,39,20,6,8,7,0,0,0,1,0,3,17
2022-01-01,0,0,0,0,0,0,9,7,1,3,47,104,26,0,26,19,13,53,64,31,8,22,6,0,1,0,0,0,1,24
2022-01-02,1,0,0,0,2,0,8,7,2,6,50,0,24,0,43,32,15,52,60,40,13,18,12,0,3,0,0,0,0,17
2022-01-03,0,0,0,0,0,0,8,11,1,3,46,103,33,0,34,25,15,66,47,26,10,19,13,0,1,0,0,0,1,18
2022-01-04,0,0,0,0,2,0,4,11,0,2,52,93,21,2,27,24,22,54,45,24,13,10,16,0,1,0,0,0,2,9
2022-01-05,1,0,0,0,0,0,8,17,0,2,29,81,18,0,27,28,15,59,38,30,12,23,17,0,1,0,2,0,0,9
2022-01-06,0,0,2,0,0,0,8,10,0,5,39,66,25,0,27,30,12,49,34,30,16,30,17,0,3,0,1,0,1,12
2022-01-07,0,1,0,0,0,0,16,4,0,1,49,63,23,0,32,23,19,53,41,53,18,26,13,0,3,0,0,0,0,12
2022-01-08,0,2,0,0,0,0,7,15,0,2,66,73,23,0,36,37,28,37,61,51,22,29,12,0,0,0,0,0,2,15
2022-01-09,0,0,0,0,0,0,7,2,0,5,51,86,20,0,31,22,29,48,51,35,9,28,16,0,2,0,0,0,0,37
2022-01-10,0,0,0,0,0,0,10,5,0,5,50,68,25,0,22,19,14,36,39,32,11,19,13,0,1,0,0,0,0,17
2022-01-11,0,0,0,0,0,0,11,11,0,8,38,72,25,0,23,23,24,36,45,28,10,17,7,0,2,0,0,0,1,14
2022-01-12,0,0,0,0,0,0,12,12,0,2,29,59,36,0,19,25,14,39,38,47,9,26,9,0,1,0,0,0,2,23
2022-01-13,0,0,0,0,0,0,8,10,0,2,39,52,29,0,32,31,20,27,44,0,13,26,13,0,3,0,0,0,0,20
2022-01-14,1,0,0,0,4,0,8,8,2,1,26,57,30,0,32,22,19,39,38,44,17,17,17,0,3,2,0,1,0,17
2022-01-15,0,0,0,0,0,0,15,4,2,0,49,71,24,0,22,40,20,50,38,43,17,32,16,0,3,0,0,0,0,13
2022-01-16,0,0,0,0,0,0,14,9,0,3,37,57,22,0,29,27,17,43,50,39,15,21,30,0,2,0,0,0,2,19
2022-01-17,0,0,0,0,0,2,6,10,0,4,36,63,20,0,31,19,19,30,48,37,13,17,21,0,1,0,0,0,0,17
2022-01-18,0,0,0,0,0,0,8,5,2,6,48,107,17,0,36,21,20,45,60,28,13,24,17,0,2,0,1,1,1,17
2022-01-19,0,0,0,0,0,0,10,4,0,6,23,66,34,0,24,25,20,30,51,39,9,21,16,0,1,0,0,0,0,14
2022-01-20,0,0,0,0,1,0,12,6,0,2,28,75,25,0,14,28,9,99,50,40,10,21,12,0,1,0,0,0,0,20
2022-01-21,0,0,0,0,1,0,5,8,0,2,36,54,29,0,21,28,15,62,40,35,13,24,8,0,2,0,0,0,1,13
2022-01-22,0,0,0,0,0,0,8,12,2,1,41,65,23,0,23,28,21,68,67,42,9,16,23,0,0,0,0,0,1,11
2022-01-23,0,0,1,0,0,0,7,8,2,6,46,93,33,0,24,42,24,56,67,43,22,25,11,0,7,0,0,0,0,11
2022-01-24,0,1,0,0,0,0,8,6,2,5,38,50,23,0,34,38,13,39,43,32,13,25,9,0,3,0,0,0,0,28
2022-01-25,0,0,0,0,0,0,4,8,0,3,37,51,26,0,23,34,15,42,34,26,12,19,11,0,0,0,0,0,0,18
2022-01-26,0,0,0,0,1,0,9,10,0,3,60,48,17,0,17,23,10,34,47,31,12,24,16,0,3,0,0,0,0,16
2022-01-27,0,0,0,0,0,0,16,7,2,2,43,58,29,0,25,31,15,41,37,25,16,31,12,0,2,0,0,0,1,13
2022-01-28,0,0,0,2,0,0,8,12,2,6,41,51,24,2,22,26,23,49,51,43,14,26,5,0,5,0,0,0,1,16
2022-01-29,0,0,0,0,2,0,7,8,2,3,43,48,25,0,22,23,14,67,61,38,14,22,16,0,2,0,0,0,1,15
2022-01-30,0,0,0,0,0,0,9,10,0,3,48,44,20,0,36,34,18,33,43,33,20,28,7,0,4,0,0,1,0,13
2022-01-31,0,0,0,0,0,0,7,5,2,3,35,31,12,0,15,20,15,34,27,26,5,7,8,0,3,0,0,0,0,8
2022-02-01,0,0,0,0,0,0,12,9,0,1,40,65,23,0,35,24,19,54,35,31,6,17,11,0,1,0,0,0,2,10
2022-02-02,0,0,0,0,0,0,6,9,0,3,51,58,24,0,24,27,19,50,55,46,6,25,11,0,1,0,0,0,1,12
2022-02-03,0,0,0,0,0,0,7,5,1,3,47,69,31,0,28,40,30,51,55,35,13,29,14,0,2,0,0,0,0,14
2022-02-04,0,0,0,0,0,0,6,11,0,4,43,51,21,0,24,33,22,42,49,31,15,26,27,0,2,0,0,0,1,24
2022-02-05,0,0,0,0,0,0,5,7,0,3,53,64,22,0,23,30,14,46,60,29,28,24,10,0,0,0,0,0,0,12
2022-02-06,0,0,0,0,1,0,10,15,1,4,37,66,27,0,27,51,26,49,59,35,67,36,22,0,1,0,0,0,1,12
2022-02-07,0,0,0,0,0,0,15,13,1,1,41,40,33,0,27,34,22,42,55,29,25,24,11,0,1,0,0,0,0,8
2022-02-08,0,0,0,0,0,0,8,7,0,1,48,53,28,0,20,31,24,33,43,32,14,10,15,0,2,0,0,0,0,13
2022-02-09,0,0,0,0,0,0,7,10,1,5,48,38,28,0,27,28,20,35,49,42,12,20,13,0,3,0,0,0,0,10
2022-02-10,0,0,0,0,1,3,9,8,2,3,30,58,34,0,22,27,20,44,56,37,17,30,4,0,3,0,0,0,1,15
2022-02-11,0,0,0,0,0,0,9,10,0,6,46,84,23,0,24,36,21,47,45,39,13,18,9,0,1,0,0,0,2,14
2022-02-12,0,0,0,0,0,0,4,11,0,1,35,44,29,0,39,49,28,32,58,38,14,26,12,0,1,0,0,0,2,16
2022-02-13,0,0,0,0,1,0,13,20,0,3,44,64,39,0,37,43,19,54,55,29,12,37,11,0,1,0,0,0,0,10
