date,Douglas Adams,Italo Calvino
2021-12-03,0,0
2021-12-04,1,0
2021-12-05,1,13
2021-12-06,0,12
2021-12-07,3,4
2021-12-08,0,15
2021-12-09,1,8
2021-12-10,1,7
2021-12-11,0,20
2021-12-12,2,19
2021-12-13,1,19
2021-12-14,0,11
2021-12-15,0,12
2021-12-16,2,10
2021-12-17,0,17
2021-12-18,0,8
2021-12-19,2,11
2021-12-20,0,7
2021-12-21,0,14
2021-12-22,0,16
2021-12-23,1,19
2021-12-24,1,9
2021-12-25,2,19
2021-12-26,1,16
2021-12-27,0,13
2021-12-28,1,14
2021-12-29,1,8
2021-12-30,0,15
2021-12-31,3,17
2022-01-01,1,24
2022-01-02,0,17
2022-01-03,1,18
2022-01-04,2,9
2022-01-05,0,9
2022-01-06,1,12
2022-01-07,0,12
2022-01-08,2,15
2022-01-09,0,37
2022-01-10,0,17
2022-01-11,1,14
2022-01-12,2,23
2022-01-13,0,20
2022-01-14,0,17
2022-01-15,0,13
2022-01-16,2,19
2022-01-17,0,17
2022-01-18,1,17
2022-01-19,0,14
2022-01-20,0,20
2022-01-21,1,13
2022-01-22,1,11
2022-01-23,0,11
2022-01-24,0,28
2022-01-25,0,18
2022-01-26,0,16
2022-01-27,1,13
2022-01-28,1,16
2022-01-29,1,15
2022-01-30,0,13
2022-01-31,0,8
2022-02-01,2,10
2022-02-02,1,12
2022-02-03,0,14
2022-02-04,1,24
2022-02-05,0,12
2022-02-06,1,12
2022-02-07,0,8
2022-02-08,0,13
2022-02-09,0,10
2022-02-10,1,15
2022-02-11,2,14
2022-02-12,2,16
2022-02-13,0,10
2022-02-14,1,18
2022-02-15,0,13
2022-02-16,0,16
2022-02-17,1,6
2022-02-18,0,13
2022-02-19,1,16
2022-02-20,1,11
2022-02-21,0,11
2022-02-22,0,10
2022-02-23,0,10
2022-02-24,0,17
2022-02-25,2,14
2022-02-26,1,8
2022-02-27,0,13
2022-02-28,1,13
2022-03-01,0,11
2022-03-02,0,14
2022-03-03,2,12
2022-03-04,1,16
2022-03-05,2,13
2022-03-06,0,22
2022-03-07,2,10
2022-03-08,1,14
