date,哈罗德·劳埃德,查理·卓别林,雅克·塔蒂,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2021-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-05,0,0,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,33,0
2021-12-06,0,0,0,5,9,6,0,0,0,0,0,0,0,0,0,0,0,16,21
2021-12-07,0,0,0,7,6,3,0,31,0,18,0,0,0,0,0,8,0,13,6
2021-12-08,0,0,0,6,18,7,0,43,0,22,28,0,0,0,0,15,0,8,3
2021-12-09,0,0,0,6,7,0,44,37,18,16,24,11,0,0,0,9,16,7,4
2021-12-10,0,0,0,3,5,7,48,41,10,25,27,15,43,0,21,11,25,14,1
2021-12-11,0,0,0,12,7,3,58,31,22,32,30,14,40,54,25,14,36,37,3
2021-12-12,0,0,0,14,9,3,33,43,16,25,26,15,42,50,28,12,23,22,1
2021-12-13,0,0,0,8,11,7,32,31,15,25,27,17,42,45,19,17,30,13,2
2021-12-14,0,0,0,7,4,4,34,0,13,20,27,10,26,41,24,6,21,9,5
2021-12-15,0,0,0,4,9,7,31,0,13,18,15,10,35,34,21,15,24,13,3
2021-12-16,0,0,0,10,2,4,33,0,12,28,32,9,36,43,13,10,29,6,0
2021-12-17,0,0,0,6,6,3,33,0,17,27,15,7,25,38,26,9,18,7,0
2021-12-18,0,0,0,8,10,2,40,0,11,22,20,14,36,40,25,15,16,17,4
2021-12-19,0,0,0,4,4,10,33,0,14,30,27,8,31,47,33,14,26,11,0
2021-12-20,0,0,0,7,6,5,28,86,11,22,16,13,24,36,16,14,20,14,2
2021-12-21,0,0,0,5,9,2,30,83,10,25,19,14,29,34,14,5,5,9,2
2021-12-22,0,0,0,3,8,3,23,72,18,19,26,13,35,37,21,13,20,8,3
2021-12-23,0,0,0,7,11,2,34,95,18,27,20,10,21,45,31,13,25,5,1
2021-12-24,0,0,0,4,6,2,32,86,18,32,28,19,36,37,21,13,13,7,3
2021-12-25,0,0,0,11,8,5,47,0,21,33,17,12,45,49,23,5,12,13,1
2021-12-26,0,0,0,12,2,3,39,0,9,34,18,16,63,63,21,8,11,8,1
2021-12-27,0,0,0,7,4,1,23,78,8,21,10,10,46,32,25,5,14,9,1
2021-12-28,0,0,0,8,3,7,41,68,12,28,15,13,45,51,22,11,21,12,3
2021-12-29,0,0,0,5,6,4,36,83,24,40,27,20,46,38,31,13,12,12,1
2021-12-30,0,0,0,8,8,3,59,75,17,22,22,10,43,35,22,5,12,19,1
2021-12-31,0,0,0,3,3,1,36,65,9,33,20,17,44,39,20,6,8,7,0
2022-01-01,0,0,0,9,7,3,47,0,26,26,19,13,53,64,31,8,22,6,1
2022-01-02,0,0,0,8,7,6,50,0,24,43,32,15,52,60,40,13,18,12,3
2022-01-03,0,0,0,8,11,3,46,0,33,34,25,15,66,47,26,10,19,13,1
2022-01-04,0,0,0,4,11,2,52,93,21,27,24,22,54,45,24,13,10,16,1
2022-01-05,0,0,0,8,17,2,29,81,18,27,28,15,59,38,30,12,23,17,1
2022-01-06,0,0,0,8,10,5,39,66,25,27,30,12,49,34,30,16,30,17,3
2022-01-07,0,0,0,16,4,1,49,63,23,32,23,19,53,41,53,18,26,13,3
2022-01-08,0,0,0,7,15,2,66,73,23,36,37,28,37,61,51,22,29,12,0
2022-01-09,0,0,0,7,2,5,51,86,20,31,22,29,48,51,35,9,28,16,2
2022-01-10,0,0,0,10,5,5,50,68,25,22,19,14,36,39,32,11,19,13,1
2022-01-11,0,0,0,11,11,8,38,72,25,23,23,24,36,45,28,10,17,7,2
2022-01-12,0,0,0,12,12,2,29,59,36,19,25,14,39,38,47,9,26,9,1
2022-01-13,0,0,0,8,10,2,39,52,29,32,31,20,27,44,0,13,26,13,3
2022-01-14,0,0,0,8,8,1,26,57,30,32,22,19,39,38,44,17,17,17,3
2022-01-15,0,0,0,15,4,0,49,71,24,22,40,20,50,38,43,17,32,16,3
2022-01-16,0,0,0,14,9,3,37,57,22,29,27,17,43,50,39,15,21,30,2
2022-01-17,0,0,0,6,10,4,36,63,20,31,19,19,30,48,37,13,17,21,1
2022-01-18,0,0,0,8,5,6,48,0,17,36,21,20,45,60,28,13,24,17,2
2022-01-19,0,0,0,10,4,6,23,66,34,24,25,20,30,51,39,9,21,16,1
2022-01-20,0,0,0,12,6,2,28,75,25,14,28,9,99,50,40,10,21,12,1
2022-01-21,0,0,0,5,8,2,36,54,29,21,28,15,62,40,35,13,24,8,2
2022-01-22,0,0,0,8,12,1,41,65,23,23,28,21,68,67,42,9,16,23,0
2022-01-23,0,0,0,7,8,6,46,93,33,24,42,24,56,67,43,22,25,11,7
2022-01-24,0,0,0,8,6,5,38,50,23,34,38,13,39,43,32,13,25,9,3
2022-01-25,0,0,0,4,8,3,37,51,26,23,34,15,42,34,26,12,19,11,0
2022-01-26,0,0,0,9,10,3,60,48,17,17,23,10,34,47,31,12,24,16,3
2022-01-27,0,0,0,16,7,2,43,58,29,25,31,15,41,37,25,16,31,12,2
2022-01-28,0,0,0,8,12,6,41,51,24,22,26,23,49,51,43,14,26,5,5
2022-01-29,0,0,0,7,8,3,43,48,25,22,23,14,67,61,38,14,22,16,2
2022-01-30,0,0,0,9,10,3,48,44,20,36,34,18,33,43,33,20,28,7,4
2022-01-31,0,0,0,7,5,3,35,31,12,15,20,15,34,27,26,5,7,8,3
2022-02-01,0,0,0,12,9,1,40,65,23,35,24,19,54,35,31,6,17,11,1
2022-02-02,0,0,0,6,9,3,51,58,24,24,27,19,50,55,46,6,25,11,1
2022-02-03,0,0,0,7,5,3,47,69,31,28,40,30,51,55,35,13,29,14,2
2022-02-04,0,0,0,6,11,4,43,51,21,24,33,22,42,49,31,15,26,27,2
2022-02-05,0,0,0,5,7,3,53,64,22,23,30,14,46,60,29,28,24,10,0
2022-02-06,0,0,0,10,15,4,37,66,27,27,51,26,49,59,35,67,36,22,1
2022-02-07,0,0,0,15,13,1,41,40,33,27,34,22,42,55,29,25,24,11,1
2022-02-08,0,0,0,8,7,1,48,53,28,20,31,24,33,43,32,14,10,15,2
2022-02-09,0,0,0,7,10,5,48,38,28,27,28,20,35,49,42,12,20,13,3
2022-02-10,0,0,0,9,8,3,30,58,34,22,27,20,44,56,37,17,30,4,3
2022-02-11,0,0,0,9,10,6,46,84,23,24,36,21,47,45,39,13,18,9,1
2022-02-12,0,0,0,4,11,1,35,44,29,39,49,28,32,58,38,14,26,12,1
2022-02-13,0,0,0,13,20,3,44,64,39,37,43,19,54,55,29,12,37,11,1
2022-02-14,0,0,0,8,11,6,35,50,19,25,45,20,43,39,28,13,27,5,2
2022-02-15,0,0,0,9,14,3,31,42,21,27,21,19,48,44,37,13,27,9,1
2022-02-16,0,0,0,5,12,4,32,43,24,24,21,15,35,35,27,15,26,13,2
2022-02-17,0,0,0,9,8,2,39,96,36,20,33,12,71,38,29,12,19,10,2
2022-02-18,0,0,0,11,11,5,36,0,47,18,21,21,49,48,33,16,27,12,2
2022-02-19,0,0,0,10,12,2,33,0,0,24,33,11,54,56,35,18,24,9,0
2022-02-20,0,0,0,10,8,1,32,0,91,26,44,17,67,41,28,11,39,13,6
2022-02-21,0,0,0,4,5,4,35,97,57,21,25,16,75,36,29,6,32,16,1
2022-02-22,0,0,0,14,15,2,23,91,44,23,25,10,51,40,37,13,29,18,5
2022-02-23,0,0,0,14,11,1,29,76,40,24,29,16,49,49,27,6,23,12,1
2022-02-24,0,0,0,6,9,2,21,68,33,15,26,15,54,39,24,12,20,33,3
2022-02-25,0,0,0,10,8,3,34,59,29,19,18,14,0,38,39,12,16,23,0
2022-02-26,0,0,0,5,6,3,35,61,40,30,29,14,0,53,28,9,21,12,1
2022-02-27,0,0,0,7,12,5,39,58,40,28,30,15,0,41,30,10,22,12,1
2022-02-28,0,0,0,7,3,1,37,51,33,19,29,18,0,40,29,17,18,9,2
2022-03-01,0,0,0,11,10,4,25,37,27,24,35,17,0,36,24,7,29,19,0
2022-03-02,0,0,0,6,7,3,23,39,40,20,29,12,0,30,36,10,15,6,3
2022-03-03,0,0,0,11,7,5,25,38,31,17,25,17,0,36,32,10,21,38,3
2022-03-04,0,0,0,15,5,4,28,39,26,18,28,20,0,32,25,11,13,8,2
2022-03-05,0,0,0,27,12,5,35,27,31,25,34,11,0,47,34,13,16,11,1
2022-03-06,0,0,0,18,11,4,46,42,35,16,29,13,0,56,26,15,24,13,1
2022-03-07,0,0,0,11,18,6,24,41,31,24,32,16,84,24,16,23,27,7,0
2022-03-08,0,0,0,11,6,3,35,28,24,22,36,9,72,38,28,18,27,12,1
2022-03-09,0,0,0,8,12,2,27,33,23,20,26,16,83,28,25,11,22,4,1
2022-03-10,0,0,0,8,8,2,22,34,25,18,37,8,68,38,34,12,25,5,4
2022-03-11,0,0,0,6,7,2,32,23,23,23,24,17,62,39,32,8,20,9,4
2022-03-12,0,0,0,15,9,6,37,47,44,28,30,9,79,49,31,14,21,14,2
2022-03-13,0,0,0,7,14,3,40,63,32,31,33,14,86,50,27,16,34,9,3
2022-03-14,0,0,0,9,12,5,28,32,14,21,32,15,66,32,29,10,16,6,1
2022-03-15,0,0,0,10,7,5,30,23,25,21,35,14,53,52,28,10,26,7,0
2022-03-16,0,0,0,10,14,8,33,32,22,18,28,9,64,33,36,10,24,12,2
2022-03-17,0,0,0,7,19,7,41,38,25,24,34,13,56,45,37,8,28,7,2
2022-03-18,0,0,0,7,12,7,48,53,28,33,32,11,57,55,29,23,28,8,1
2022-03-19,0,0,0,6,19,7,53,43,27,37,48,16,63,52,37,16,24,11,2
2022-03-20,0,0,0,11,15,4,43,45,27,31,55,16,86,55,37,17,24,7,3
2022-03-21,0,0,0,8,16,2,36,39,13,30,38,19,46,60,25,19,24,10,0
2022-03-22,0,0,0,9,19,6,35,50,24,32,40,12,55,44,20,13,34,11,2
2022-03-23,0,0,0,11,14,4,40,35,18,29,33,19,48,32,38,16,28,14,2
2022-03-24,0,0,0,14,13,1,44,44,20,32,28,18,43,43,27,16,27,13,4
2022-03-25,0,0,0,10,15,7,51,45,22,32,29,25,56,37,49,10,15,9,2
2022-03-26,0,0,0,15,5,9,48,40,32,28,38,28,63,51,30,14,28,15,1
2022-03-27,0,0,0,11,12,1,51,51,25,44,37,72,60,58,30,14,23,7,6
2022-03-28,0,0,0,13,7,4,28,35,19,26,22,18,27,43,38,10,15,8,1
