date,巴斯特·基顿,路易斯·布努埃尔,弗里茨·朗,王家卫,韦斯·安德森,阿加莎·克里斯蒂,今敏,杨德昌,比利·怀尔德,伍迪·艾伦,昆汀·塔伦蒂诺,黑泽明,弗朗索瓦·特吕弗,让-吕克·戈达尔,阿基·考里斯马基,李洪绸
2021-12,185,191,119,847,1615,336,644,536,297,833,888,502,266,437,349,72
2022-01,277,262,105,1300,2009,761,829,847,547,1470,1459,1071,408,693,419,66
2022-02,240,280,82,1054,1768,916,700,882,517,1281,1311,913,425,692,376,48
2022-03,330,353,145,1114,1192,792,804,1015,537,1610,1312,962,412,725,342,61
2022-04,296,362,157,1205,1245,692,967,931,484,1117,1427,958,402,710,307,173
2022-05,248,311,110,1144,1234,554,884,954,523,1308,1322,1117,427,679,292,620
2022-06,173,244,101,1042,671,422,916,724,388,843,953,839,298,464,203,221
2022-07,215,259,89,1077,745,473,848,1000,443,848,1177,748,340,515,206,96
2022-08,262,327,108,984,721,589,946,753,435,738,1024,698,538,526,338,94
2022-09,199,339,92,855,557,521,737,733,403,741,956,652,572,984,254,67
2022-10,229,325,124,1042,776,474,736,1032,440,911,1215,723,526,1281,229,83
2022-11,174,280,82,1121,689,499,663,836,393,872,1058,622,404,809,232,72
2022-12,217,279,101,971,713,507,737,732,410,859,1109,713,494,766,232,82
2023-01,219,294,120,1103,770,637,787,818,382,995,1155,755,454,762,241,101
2023-02,160,228,83,719,508,403,534,659,280,762,914,653,287,575,199,52
2023-03,214,241,88,776,543,426,653,672,304,798,948,646,312,672,226,54
2023-04,162,213,84,768,869,389,595,700,294,618,1050,675,287,579,309,43
2023-05,23,77,7,100,23,49,71,81,34,110,6,100,35,63,46,9
