date,Harold Lloyd,Charles Chaplin,Jacques Tati,Buster Keaton,Luis Bunuel,Fritz Lang,Wong Kar-wai,Wes Anderson,Agatha Christie,Satoshi Kon,Edward Yang,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Hongchou Li
2021-12,0,0,0,185,191,119,847,1048,336,644,536,297,833,888,502,266,437,349,72
2022-01,0,0,0,277,262,105,1300,1695,761,829,847,547,1470,1459,1071,408,693,419,66
2022-02,0,0,0,240,280,82,1054,1546,916,700,882,517,1175,1311,913,425,692,376,48
2022-03,0,0,0,330,353,145,1114,1192,792,804,1015,537,1505,1312,962,412,725,342,61
2022-04,0,0,0,296,362,157,1205,1245,692,967,931,484,1117,1427,958,402,710,307,173
2022-05,0,0,0,248,311,110,1144,1129,554,884,954,523,1308,1322,1117,427,679,292,620
2022-06,0,0,0,173,244,101,1042,671,422,916,724,388,843,953,839,298,464,203,221
2022-07,0,0,0,215,259,89,973,745,473,848,896,443,848,1177,748,340,515,206,96
2022-08,0,0,0,262,327,108,984,721,589,946,753,435,738,1024,698,538,526,338,94
2022-09,0,0,0,199,339,92,855,557,521,737,733,403,741,956,652,572,670,254,67
2022-10,0,0,0,229,325,124,1042,776,474,736,927,440,911,1110,723,526,1281,229,83
2022-11,0,0,0,174,280,82,1018,689,499,663,836,393,664,1058,622,404,809,232,72
2022-12,0,0,0,217,279,101,869,713,507,737,732,410,859,1008,713,494,766,232,82
2023-01,0,0,0,219,294,120,1103,665,637,787,818,382,995,1050,755,454,762,241,101
2023-02,0,0,0,160,228,83,719,508,403,534,659,280,762,914,653,287,575,199,52
2023-03,0,0,0,214,241,88,776,543,426,653,672,304,798,738,646,312,672,226,54
2023-04,0,0,0,162,213,84,664,869,389,595,700,294,618,945,675,287,579,309,43
2023-05,433,278,207,460,456,298,889,1356,491,803,896,513,1017,1072,773,508,686,950,158
2023-06,497,305,196,393,318,327,769,951,483,685,797,342,783,865,731,439,602,303,237
2023-07,308,355,98,382,461,217,886,1226,658,692,787,485,882,1023,785,322,546,299,122
2023-08,306,314,198,366,265,270,1111,971,663,667,799,414,769,1175,897,332,528,448,182
2023-09,328,302,151,515,425,233,858,804,833,772,727,329,756,1145,811,306,635,403,313
2023-10,364,381,200,256,440,350,911,989,713,911,904,346,772,1062,653,345,455,539,110
2023-11,200,176,100,174,202,153,586,500,375,486,601,316,511,681,535,234,465,272,265
