date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,The Beatles,The Stone Roses,Teenage Fanclub,Sunset Rollercoaster,Cigarettes After Sex,Summer Salt
2021-12,37,1,3,3,9,1,27,0,41,3,5,48
2022-01,3,4,3,2,13,2,24,4,0,2,4,3
2022-02,1,2,1,0,14,3,19,2,0,2,0,0
2022-03,3,5,2,6,10,1,35,4,0,0,6,2
2022-04,1,2,2,4,13,1,29,0,0,2,1,0
2022-05,0,0,4,0,8,1,22,4,0,1,1,0
2022-06,2,1,2,2,8,3,16,2,0,0,4,0
2022-07,1,1,2,4,4,2,19,2,0,3,4,0
2022-08,6,9,2,6,37,7,57,8,0,3,0,0
2022-09,7,6,3,5,43,1,64,6,2,6,12,4
2022-10,12,10,4,14,31,2,75,5,0,4,5,0
2022-11,7,11,1,10,25,2,72,6,0,10,8,0
2022-12,11,7,5,5,32,1,96,10,0,1,13,1
2023-01,12,12,2,9,53,0,120,8,0,3,10,2
2023-02,11,10,2,3,61,3,82,6,0,5,9,4
2023-03,7,9,0,4,51,2,71,7,4,1,11,0
2023-04,6,9,3,4,58,0,71,5,0,5,5,1
2023-05,714,707,764,784,319,611,342,644,871,744,730,973
2023-06,575,614,499,470,173,596,300,666,562,459,497,408
2023-07,542,367,504,484,209,379,299,396,586,327,525,605
2023-08,569,432,587,396,314,534,195,351,539,556,514,493
2023-09,452,417,410,510,136,387,259,582,460,468,427,558
2023-10,384,576,524,438,320,482,279,558,375,471,591,532
2023-11,209,381,481,285,153,469,291,384,344,279,309,398
2023-12,330,271,415,436,177,294,131,202,262,426,276,311
2024-01,94,96,133,118,89,143,47,125,111,114,109,107
